iter	Passed	Remaining
0	93	37331
1	104	20791
2	116	15354
3	127	12582
4	138	10968
5	149	9841
6	160	9031
7	171	8396
8	181	7903
9	189	7385
10	199	7064
11	210	6802
12	221	6604
13	232	6407
14	242	6236
15	253	6091
16	265	5979
17	275	5856
18	286	5747
19	297	5652
20	308	5559
21	318	5470
22	328	5385
23	339	5314
24	349	5247
25	359	5173
26	369	5105
27	380	5050
28	390	4993
29	400	4944
30	411	4899
31	422	4856
32	432	4813
33	442	4767
34	453	4728
35	463	4684
36	472	4637
37	483	4605
38	493	4564
39	502	4524
40	512	4485
41	521	4445
42	531	4413
43	541	4381
44	551	4351
45	560	4316
46	570	4285
47	577	4236
48	586	4202
49	595	4171
50	605	4143
51	614	4112
52	624	4090
53	635	4071
54	645	4047
55	654	4021
56	664	4001
57	674	3980
58	684	3958
59	694	3936
60	703	3909
61	714	3896
62	724	3876
63	731	3840
64	742	3828
65	752	3809
66	763	3793
67	773	3775
68	783	3757
69	793	3738
70	802	3720
71	812	3701
72	822	3686
73	833	3670
74	843	3654
75	853	3637
76	862	3619
77	872	3602
78	883	3590
79	893	3575
80	903	3559
81	914	3547
82	924	3531
83	933	3512
84	944	3500
85	954	3484
86	964	3469
87	974	3454
88	985	3442
89	994	3426
90	1006	3417
91	1016	3401
92	1026	3387
93	1036	3372
94	1045	3357
95	1055	3342
96	1065	3328
97	1075	3312
98	1084	3298
99	1094	3284
100	1103	3267
101	1113	3253
102	1124	3242
103	1134	3228
104	1143	3213
105	1151	3192
106	1158	3171
107	1165	3152
108	1175	3138
109	1185	3126
110	1195	3112
111	1205	3099
112	1215	3088
113	1225	3074
114	1235	3060
115	1244	3047
116	1255	3036
117	1265	3024
118	1274	3010
119	1285	2999
120	1294	2985
121	1305	2974
122	1315	2961
123	1324	2947
124	1334	2935
125	1344	2924
126	1355	2913
127	1365	2901
128	1375	2889
129	1385	2876
130	1394	2864
131	1404	2851
132	1414	2839
133	1424	2828
134	1435	2816
135	1445	2805
136	1454	2792
137	1464	2780
138	1474	2769
139	1484	2757
140	1494	2745
141	1504	2733
142	1513	2720
143	1522	2707
144	1531	2693
145	1540	2680
146	1547	2663
147	1560	2657
148	1571	2647
149	1581	2636
150	1591	2625
151	1601	2612
152	1611	2601
153	1621	2589
154	1628	2573
155	1638	2562
156	1648	2551
157	1655	2535
158	1662	2519
159	1671	2507
160	1681	2496
161	1691	2484
162	1702	2474
163	1712	2463
164	1719	2449
165	1729	2438
166	1737	2423
167	1748	2414
168	1759	2404
169	1769	2393
170	1780	2384
171	1789	2372
172	1797	2358
173	1806	2346
174	1817	2337
175	1828	2326
176	1837	2315
177	1848	2305
178	1859	2295
179	1869	2285
180	1878	2273
181	1888	2261
182	1897	2250
183	1907	2239
184	1917	2228
185	1927	2217
186	1937	2206
187	1947	2195
188	1957	2184
189	1966	2173
190	1976	2163
191	1987	2152
192	1997	2142
193	2007	2131
194	2017	2120
195	2027	2109
196	2036	2098
197	2045	2086
198	2055	2076
199	2065	2065
200	2075	2055
201	2085	2043
202	2094	2032
203	2103	2021
204	2113	2010
205	2123	1999
206	2132	1988
207	2142	1977
208	2152	1966
209	2161	1955
210	2171	1944
211	2180	1933
212	2190	1922
213	2199	1911
214	2208	1900
215	2218	1889
216	2228	1879
217	2238	1868
218	2248	1858
219	2258	1847
220	2268	1837
221	2278	1827
222	2289	1817
223	2299	1806
224	2309	1796
225	2318	1785
226	2328	1774
227	2338	1764
228	2348	1753
229	2357	1742
230	2366	1731
231	2376	1720
232	2384	1709
233	2394	1698
234	2403	1687
235	2413	1677
236	2422	1665
237	2431	1654
238	2440	1643
239	2449	1632
240	2459	1622
241	2469	1612
242	2478	1601
243	2488	1590
244	2497	1579
245	2507	1569
246	2517	1559
247	2527	1549
248	2537	1538
249	2546	1528
250	2556	1517
251	2566	1507
252	2576	1497
253	2586	1486
254	2596	1476
255	2607	1466
256	2617	1456
257	2628	1446
258	2638	1436
259	2648	1425
260	2658	1415
261	2668	1405
262	2678	1395
263	2689	1385
264	2699	1375
265	2709	1364
266	2719	1354
267	2729	1344
268	2738	1333
269	2748	1323
270	2758	1312
271	2767	1302
272	2777	1291
273	2787	1281
274	2797	1271
275	2807	1261
276	2817	1250
277	2826	1240
278	2835	1229
279	2845	1219
280	2856	1209
281	2867	1199
282	2878	1189
283	2888	1180
284	2899	1169
285	2909	1159
286	2919	1149
287	2930	1139
288	2942	1130
289	2955	1121
290	2968	1112
291	2983	1103
292	2997	1094
293	3010	1085
294	3023	1076
295	3037	1067
296	3050	1057
297	3064	1048
298	3078	1039
299	3092	1030
300	3105	1021
301	3119	1012
302	3132	1002
303	3145	993
304	3159	983
305	3172	974
306	3186	965
307	3200	955
308	3213	946
309	3226	936
310	3239	926
311	3251	917
312	3264	907
313	3278	897
314	3292	888
315	3304	878
316	3319	869
317	3332	859
318	3346	849
319	3360	840
320	3372	830
321	3385	820
322	3397	809
323	3410	799
324	3422	789
325	3433	779
326	3445	769
327	3457	758
328	3469	748
329	3481	738
330	3492	727
331	3504	717
332	3514	707
333	3525	696
334	3538	686
335	3548	675
336	3559	665
337	3569	654
338	3580	644
339	3589	633
340	3602	623
341	3612	612
342	3622	602
343	3632	591
344	3643	580
345	3653	570
346	3663	559
347	3674	549
348	3687	538
349	3697	528
350	3709	517
351	3720	507
352	3731	496
353	3742	486
354	3753	475
355	3763	465
356	3775	454
357	3786	444
358	3797	433
359	3808	423
360	3821	412
361	3832	402
362	3844	391
363	3854	381
364	3865	370
365	3876	360
366	3887	349
367	3898	338
368	3909	328
369	3920	317
370	3932	307
371	3944	296
372	3957	286
373	3971	276
374	3985	265
375	4000	255
376	4014	244
377	4027	234
378	4041	223
379	4055	213
380	4070	202
381	4084	192
382	4098	181
383	4112	171
384	4124	160
385	4138	150
386	4151	139
387	4165	128
388	4176	118
389	4189	107
390	4201	96
391	4214	86
392	4226	75
393	4237	64
394	4248	53
395	4261	43
396	4271	32
397	4282	21
398	4292	10
399	4303	0
